year;code;name;amount;policy
2020;222M;Prestaciones económicas del Mutualismo Administrativo;78.126,20;22. OTRAS PRESTACIONES ECONÓMICAS
2020;312A;Asistencia hospitalaria en las Fuerzas Armadas;150.158,34;31. SANIDAD
2020;312E;Asistencia sanitaria del Mutualismo Administrativo;701.310,85;31. SANIDAD
2020;464A;Investigación y estudios de las Fuerzas Armadas;211.597,48;46. INVESTIGACIÓN, DESARROLLO, INNOVACIÓN Y DIGITALIZACIÓN
2020;912Q;Asesoramiento para la protección de los intereses nacionales;281.948,70;91. ÓRGANOS CONSTITUCIONALES, GOBIERNO Y OTROS
2020;931P;Control interno y Contabilidad Pública;178,26;93. ADMINISTRACIÓN FINANCIERA Y TRIBUTARIA
2020;000X;Transferencias internas (Sección: 14 MINISTERIO DE DEFENSA);375.726,51;93. ADMINISTRACIÓN FINANCIERA Y TRIBUTARIA
2020;219N;Gestión de pensiones de Clases Pasivas;5.808,82;21. PENSIONES
2020;231G;Atención a la infancia y a las familias;4.300,00;23. SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
2020;337B;Conservación y restauración de bienes culturales;7.644,89;33. CULTURA
2020;422A;Incentivos regionales a la localización industrial;59.852,77;42. INDUSTRIA Y ENERGÍA
2020;462N;Investigación y estudios estadísticos y económicos;5.717,02;46. INVESTIGACIÓN, DESARROLLO, INNOVACIÓN Y DIGITALIZACIÓN
2020;467G;Investigación y desarrollo de la Sociedad de la Información;7.569,94;46. INVESTIGACIÓN, DESARROLLO, INNOVACIÓN Y DIGITALIZACIÓN
2020;492N;Regulación y vigilancia de la competencia en el Mercado de Tabacos;7.387,32;49. OTRAS ACTUACIONES DE CARÁCTER ECONÓMICO
2020;496M;Regulación del juego;6.511,79;49. OTRAS ACTUACIONES DE CARÁCTER ECONÓMICO
2020;921T;Servicios de transportes de Ministerios;45.286,72;92. SERVICIOS DE CARÁCTER GENERAL
2020;922N;Coordinación y relaciones financieras con los Entes Territoriales;17.508.285,55;92. SERVICIOS DE CARÁCTER GENERAL
2020;923A;Gestión del Patrimonio del Estado;184.155,49;92. SERVICIOS DE CARÁCTER GENERAL
2020;923M;Dirección y Servicios Generales de Hacienda;1.024.789,54;92. SERVICIOS DE CARÁCTER GENERAL
2020;923N;Formación del personal de Economía y Hacienda;11.815,65;92. SERVICIOS DE CARÁCTER GENERAL
2020;931N;Política presupuestaria;55.932,58;93. ADMINISTRACIÓN FINANCIERA Y TRIBUTARIA
2020;931O;Política tributaria;5.582,74;93. ADMINISTRACIÓN FINANCIERA Y TRIBUTARIA
2020;931P;Control interno y Contabilidad Pública;84.331,12;93. ADMINISTRACIÓN FINANCIERA Y TRIBUTARIA
2020;931Q;Control y Supervisión de la Política Fiscal;7.042,83;93. ADMINISTRACIÓN FINANCIERA Y TRIBUTARIA
2020;932A;Aplicación del sistema tributario estatal;1.088.740,38;93. ADMINISTRACIÓN FINANCIERA Y TRIBUTARIA
2020;932M;Gestión del catastro inmobiliario;110.456,59;93. ADMINISTRACIÓN FINANCIERA Y TRIBUTARIA
2020;932N;Resolución de reclamaciones económico-administrativas;29.351,13;93. ADMINISTRACIÓN FINANCIERA Y TRIBUTARIA
2020;000X;Transferencias internas (Sección: 15 MINISTERIO DE HACIENDA);1.097.471,35;93. ADMINISTRACIÓN FINANCIERA Y TRIBUTARIA
2020;131M;Dirección y Servicios Generales de Seguridad y Protección Civil;66.451,29;13. SEGURIDAD CIUDADANA E INSTITUCIONES PENITENCIARIAS
2020;131N;Formación de Fuerzas y Cuerpos de Seguridad del Estado;141.337,07;13. SEGURIDAD CIUDADANA E INSTITUCIONES PENITENCIARIAS
2020;131O;Fuerzas y Cuerpos en reserva;382.440,70;13. SEGURIDAD CIUDADANA E INSTITUCIONES PENITENCIARIAS
2020;131P;Derecho de asilo y apátridas;6.404,53;13. SEGURIDAD CIUDADANA E INSTITUCIONES PENITENCIARIAS
2020;132A;Seguridad ciudadana;5.789.769,35;13. SEGURIDAD CIUDADANA E INSTITUCIONES PENITENCIARIAS
2020;132B;Seguridad vial;766.455,39;13. SEGURIDAD CIUDADANA E INSTITUCIONES PENITENCIARIAS
2020;132C;Actuaciones policiales en materia de droga;76.349,43;13. SEGURIDAD CIUDADANA E INSTITUCIONES PENITENCIARIAS
2020;133A;Centros e Instituciones Penitenciarias;1.160.426,94;13. SEGURIDAD CIUDADANA E INSTITUCIONES PENITENCIARIAS
2020;134M;Protección Civil;14.545,48;13. SEGURIDAD CIUDADANA E INSTITUCIONES PENITENCIARIAS
2020;924M;Elecciones y Partidos Políticos;62.866,69;92. SERVICIOS DE CARÁCTER GENERAL
2020;000X;Transferencias internas (Sección: 16 MINISTERIO DEL INTERIOR);168.959,31;92. SERVICIOS DE CARÁCTER GENERAL
2020;261N;Promoción, administración y ayudas para rehabilitación y acceso a vivienda;450.652,67;26. ACCESO A LA VIVIENDA Y FOMENTO DE LA EDIFICACIÓN
2020;261O;Ordenación y fomento de la edificación;29.409,10;26. ACCESO A LA VIVIENDA Y FOMENTO DE LA EDIFICACIÓN
2020;261P;Urbanismo y política del suelo;1.480,61;26. ACCESO A LA VIVIENDA Y FOMENTO DE LA EDIFICACIÓN
2020;441M;Subvenciones y apoyo al transporte terrestre;1.247.491,97;44. INFRAESTRUCTURAS
2020;441N;Subvenciones y apoyo al transporte marítimo;128.689,65;44. INFRAESTRUCTURAS
2020;441O;Subvenciones y apoyo al transporte aéreo;393.585,92;44. INFRAESTRUCTURAS
2020;441P;Subvenciones al transporte extrapeninsular de mercancías;75.247,03;44. INFRAESTRUCTURAS
2020;451M;Estudios y servicios de asistencia técnica en Obras Públicas y Urbanismo;28.805,20;45. INFRAESTRUCTURAS Y ECOSISTEMAS RESILIENTES
2020;451N;Dirección y Servicios Generales de Fomento;917.686,23;45. INFRAESTRUCTURAS Y ECOSISTEMAS RESILIENTES
2020;453A;Infraestructura del transporte ferroviario;400.730,00;45. INFRAESTRUCTURAS Y ECOSISTEMAS RESILIENTES
2020;453B;Creación de infraestructura de carreteras;1.456.244,89;45. INFRAESTRUCTURAS Y ECOSISTEMAS RESILIENTES
2020;453C;Conservación y explotación de carreteras;807.538,49;45. INFRAESTRUCTURAS Y ECOSISTEMAS RESILIENTES
2020;453M;Ordenación e inspección del transporte terrestre;21.443,83;45. INFRAESTRUCTURAS Y ECOSISTEMAS RESILIENTES
2020;453N;Regulación y supervisión de la seguridad ferroviaria;13.880,51;45. INFRAESTRUCTURAS Y ECOSISTEMAS RESILIENTES
2020;453O;Comisión de Investigación de Accidentes Ferroviarios;390,84;45. INFRAESTRUCTURAS Y ECOSISTEMAS RESILIENTES
