232N;Dirección y Servicios Generales de Juventud e Infancia;10.396,67;23. SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
000X;Transferencias y libramientos internos (Sección: 31 MINISTERIO DE JUVENTUD E INFANCIA);12.558,86;92. SERVICIOS DE CARÁCTER GENERAL
212A;Pensiones no contributivas y prestaciones asistenciales;4.100,00;21. PENSIONES
219N;Gestión de pensiones de Clases Pasivas;4.967,04;21. PENSIONES
231B;Acciones en favor de los emigrantes;60.502,19;23. SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
231G;Atención a la infancia y a las familias;1.800,00;23. SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
231H;Acciones en favor de los inmigrantes;745.412,85;23. SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
232E;Análisis y definición de objetivos y políticas de Inclusión;2.751,84;23. SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
291M;Dirección y Servicios Generales de la Inclusión, de la Seguridad Social y de la Migración;67.098,63;29. GESTIÓN Y ADMINISTRACIÓN DE LA INCLUSIÓN, DE LA SEGURIDAD SOCIAL Y DE LA MIGRACIÓN
000X;Transferencias y libramientos internos (Sección: 32 MINISTERIO DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES);44.726.975,67;92. SERVICIOS DE CARÁCTER GENERAL
222M;Prestaciones económicas del Mutualismo Administrativo;320.488,83;22. OTRAS PRESTACIONES ECONÓMICAS
312E;Asistencia sanitaria del Mutualismo Administrativo;1.616.911,15;31. SANIDAD
461N;Dirección y Servicios Generales de Transformación Digital y de la Función Pública;37.256,42;46. INVESTIGACIÓN, DESARROLLO, INNOVACIÓN Y DIGITALIZACIÓN
467G;Investigación y desarrollo de la Sociedad de la Información;88.706,06;46. INVESTIGACIÓN, DESARROLLO, INNOVACIÓN Y DIGITALIZACIÓN
467I;Innovación tecnológica de las telecomunicaciones;204.073,49;46. INVESTIGACIÓN, DESARROLLO, INNOVACIÓN Y DIGITALIZACIÓN
491M;Ordenación y promoción de las telecomunicaciones y de la Sociedad de la Información;37.503,94;49. OTRAS ACTUACIONES DE CARÁCTER ECONÓMICO
921N;Dirección y organización de la Administración Pública;18.607,41;92. SERVICIOS DE CARÁCTER GENERAL
921O;Formación del personal de las Administraciones Públicas;117.298,53;92. SERVICIOS DE CARÁCTER GENERAL
921X;Evaluación de la transparencia de la actividad pública;3.379,38;92. SERVICIOS DE CARÁCTER GENERAL
000X;Transferencias y libramientos internos (Sección: 33 MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA);34.338,29;92. SERVICIOS DE CARÁCTER GENERAL
929N;Fondo de contingencia de ejecución presupuestaria;3.964.420,00;92. SERVICIOS DE CARÁCTER GENERAL
941N;Transferencias a Comunidades Autónomas por los Fondos de Compensación Interterritorial;582.430,00;94. TRANSFERENCIAS A OTRAS ADMINISTRACIONES PÚBLICAS
941M;Transferencias a Comunidades Autónomas por participación en los ingresos del Estado;23.552.875,38;94. TRANSFERENCIAS A OTRAS ADMINISTRACIONES PÚBLICAS
941O;Otras transferencias a Comunidades Autónomas;522.200,00;94. TRANSFERENCIAS A OTRAS ADMINISTRACIONES PÚBLICAS
942M;Transferencias a Entidades Locales por participación en los ingresos del Estado;20.792.575,72;94. TRANSFERENCIAS A OTRAS ADMINISTRACIONES PÚBLICAS
942N;Otras transferencias a Entidades Locales;220.319,43;94. TRANSFERENCIAS A OTRAS ADMINISTRACIONES PÚBLICAS
